10:03:57.010 [restartedMain] INFO  c.c.r.RulesMicroserviceApplication - Starting RulesMicroserviceApplication using Java 17.0.1 on LTIN287456 with PID 48612 (C:\Users\2146122\mfpe\rules-microservice\target\classes started by 2146122 in C:\Users\2146122\mfpe\rules-microservice)
10:03:57.018 [restartedMain] INFO  c.c.r.RulesMicroserviceApplication - No active profile set, falling back to 1 default profile: "default"
10:03:57.135 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:03:57.136 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:03:58.871 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=28b31051-74fe-36f9-9200-8bfb9c190280
10:04:00.148 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8005 (http)
10:04:00.166 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8005"]
10:04:00.167 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:04:00.167 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
10:04:00.315 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:04:00.316 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3137 ms
10:04:00.735 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
10:04:01.748 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
